name,URI,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_info,artist_name,artist_pop,album,track_pop,playlistname,mood,language,category,dc0,dc1,dc2,dc3
Saami Saami,spotify:track:4ZUxhQNRCzlh6alqBHPNRC,0.807,0.773,5,-6.885,0.278,0.359,0.00217,0.303,0.867,139.816,223961,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2oLVeyUyYNFELwC93iZWGG'}, 'followers': {'href': None, 'total': 7581}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/2oLVeyUyYNFELwC93iZWGG', 'id': '2oLVeyUyYNFELwC93iZWGG', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e18f5e67cb35929c38ac2c42', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e18f5e67cb35929c38ac2c42', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e18f5e67cb35929c38ac2c42', 'width': 64}], 'name': 'Mounika Yadav', 'popularity': 47, 'type': 'artist', 'uri': 'spotify:artist:2oLVeyUyYNFELwC93iZWGG'}",Mounika Yadav,47,Pushpa - The Rise,66,Telugu Romance,Romance,te,0,6.879362070384252,33.681857668087424,31.57493134260737,54.7039810344808
Kalaavathi,spotify:track:0hNPo5brQ2MLlrdVKZfHK9,0.392,0.574,5,-5.744,0.0336,0.627,0.0,0.532,0.446,65.528,242322,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2FgHPfRprDaylrSRVf1UlN'}, 'followers': {'href': None, 'total': 3960733}, 'genres': ['filmi', 'tamil pop'], 'href': 'https://api.spotify.com/v1/artists/2FgHPfRprDaylrSRVf1UlN', 'id': '2FgHPfRprDaylrSRVf1UlN', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd8ee48716280f5ad1b1c06d7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d8ee48716280f5ad1b1c06d7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d8ee48716280f5ad1b1c06d7', 'width': 160}], 'name': 'Thaman S', 'popularity': 67, 'type': 'artist', 'uri': 'spotify:artist:2FgHPfRprDaylrSRVf1UlN'}",Thaman S,67,Kalaavathi - Sarkaru Vaari Paata,71,Telugu Romance,Romance,te,3,67.4354531668576,40.623054471399826,105.8681923831592,19.659167311702895
Baguntundhi Nuvvu Navvithe,spotify:track:1eWooUUh7E796VP86o15BN,0.76,0.443,6,-9.128,0.0426,0.504,0.000797,0.0957,0.632,123.959,222581,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5ds7YHzRIeaGrAKGPR62fA'}, 'followers': {'href': None, 'total': 55409}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/5ds7YHzRIeaGrAKGPR62fA', 'id': '5ds7YHzRIeaGrAKGPR62fA', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27349ed5816027be7d0db65c1b6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0249ed5816027be7d0db65c1b6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485149ed5816027be7d0db65c1b6', 'width': 64}], 'name': 'Shekar Chandra', 'popularity': 50, 'type': 'artist', 'uri': 'spotify:artist:5ds7YHzRIeaGrAKGPR62fA'}",Shekar Chandra,50,Atithi Devobhava (Original Motion Picture Soundtrack),60,Telugu Romance,Romance,te,0,9.23271264018365,17.98619194066147,47.4674202127827,38.882517371951316
"Ee Raathale (From ""Radhe Shyam"")",spotify:track:50RcuWjfUcoJfWMNegXF0b,0.63,0.528,9,-8.574,0.0311,0.0284,2.63e-06,0.107,0.551,124.0,232763,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6AiX12wXdXFoGJ2vk8zBjy'}, 'followers': {'href': None, 'total': 5893260}, 'genres': ['filmi', 'kollywood', 'tamil pop'], 'href': 'https://api.spotify.com/v1/artists/6AiX12wXdXFoGJ2vk8zBjy', 'id': '6AiX12wXdXFoGJ2vk8zBjy', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7249dd34afa1c09e205260f4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747249dd34afa1c09e205260f4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787249dd34afa1c09e205260f4', 'width': 160}], 'name': 'Yuvan Shankar Raja', 'popularity': 70, 'type': 'artist', 'uri': 'spotify:artist:6AiX12wXdXFoGJ2vk8zBjy'}",Yuvan Shankar Raja,70,"Ee Raathale (From ""Radhe Shyam"")",65,Telugu Romance,Romance,te,0,9.086669662512717,17.96262992189405,47.40788717517036,38.90417703060006
Srivalli,spotify:track:2YmXGUx32C3CUEgcAyHcGf,0.82,0.581,4,-5.655,0.0438,0.494,0.0,0.362,0.681,106.965,221000,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5sSzCxHtgL82pYDvx2QyEU'}, 'followers': {'href': None, 'total': 5130584}, 'genres': ['filmi', 'tollywood'], 'href': 'https://api.spotify.com/v1/artists/5sSzCxHtgL82pYDvx2QyEU', 'id': '5sSzCxHtgL82pYDvx2QyEU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebae16bbb67ebe5b65d00875b5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ae16bbb67ebe5b65d00875b5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ae16bbb67ebe5b65d00875b5', 'width': 160}], 'name': 'Devi Sri Prasad', 'popularity': 68, 'type': 'artist', 'uri': 'spotify:artist:5sSzCxHtgL82pYDvx2QyEU'}",Devi Sri Prasad,68,Pushpa - The Rise,67,Telugu Romance,Romance,te,1,26.022948855675487,1.3745732948633795,64.44013239645233,21.918916641990226
Leharaayi,spotify:track:6DFXFqK5PTGqTzTbdj47uV,0.78,0.608,0,-7.62,0.061,0.245,4.14e-05,0.0947,0.476,91.975,245093,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7qjJw7ZM2ekDSahLXPjIlN'}, 'followers': {'href': None, 'total': 6475671}, 'genres': ['filmi'], 'href': 'https://api.spotify.com/v1/artists/7qjJw7ZM2ekDSahLXPjIlN', 'id': '7qjJw7ZM2ekDSahLXPjIlN', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb583f76654d7e8d4b1a9cce7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b583f76654d7e8d4b1a9cce7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b583f76654d7e8d4b1a9cce7', 'width': 160}], 'name': 'Sid Sriram', 'popularity': 73, 'type': 'artist', 'uri': 'spotify:artist:7qjJw7ZM2ekDSahLXPjIlN'}",Sid Sriram,73,Most Eligible Bachelor,61,Telugu Romance,Romance,te,3,40.97909715044527,14.191008178116864,79.4126194657105,6.868792520638985
Guruvaram,spotify:track:6Mams2ZPHqDzPyQD1eM5x0,0.808,0.717,0,-7.768,0.129,0.609,2.42e-06,0.0925,0.821,97.001,216171,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4iA6bUhiZyvRKJf4FNVX39'}, 'followers': {'href': None, 'total': 2232823}, 'genres': ['filmi'], 'href': 'https://api.spotify.com/v1/artists/4iA6bUhiZyvRKJf4FNVX39', 'id': '4iA6bUhiZyvRKJf4FNVX39', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdd9861f139278c57ca97f0be', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dd9861f139278c57ca97f0be', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dd9861f139278c57ca97f0be', 'width': 160}], 'name': 'Vijay Prakash', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:4iA6bUhiZyvRKJf4FNVX39'}",Vijay Prakash,62,Kirrak Party (Original Motion Picture Soundtrack),0,Telugu Romance,Romance,te,1,35.95771742139105,9.202488812505194,74.38834613256307,11.897932419245162
Nee Chitram Choosi,spotify:track:5PsmOImV4eJxcTK8ZxSPJz,0.562,0.516,11,-5.746,0.0266,0.289,0.0,0.136,0.279,133.875,263506,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6LWyVEIBnx7MoRBhQxu9om'}, 'followers': {'href': None, 'total': 440305}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/6LWyVEIBnx7MoRBhQxu9om', 'id': '6LWyVEIBnx7MoRBhQxu9om', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb439ae2d0bb4ac04b74af8421', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174439ae2d0bb4ac04b74af8421', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178439ae2d0bb4ac04b74af8421', 'width': 160}], 'name': 'Anurag Kulkarni', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:6LWyVEIBnx7MoRBhQxu9om'}",Anurag Kulkarni,62,Love Story,57,Telugu Romance,Romance,te,0,1.6393463599223717,27.75837828500414,37.54032054813466,48.787134346600766
Emannavoo,spotify:track:36ylvIx1fVaM4i5pux7Ea1,0.457,0.542,5,-7.645,0.0575,0.408,0.0,0.127,0.652,109.973,214766,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'followers': {'href': None, 'total': 10117804}, 'genres': ['desi hip hop', 'filmi', 'tamil hip hop'], 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb53defb703e917e62b55ee8ed', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517453defb703e917e62b55ee8ed', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17853defb703e917e62b55ee8ed', 'width': 160}], 'name': 'Anirudh Ravichander', 'popularity': 80, 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}",Anirudh Ravichander,80,Nava Manmadhudu (Original Motion Picture Soundtrack),53,Telugu Romance,Romance,te,1,22.985855969000834,3.9570296815620476,61.41478024262221,24.858680426670524
Love Me Again,spotify:track:0aygY9LqK1bCqyKK1bOsio,0.713,0.911,0,-2.741,0.0564,0.0437,5.64e-05,0.107,0.663,123.941,246735,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/66PGnr0hE7ZIcWir6IwitB'}, 'followers': {'href': None, 'total': 177543}, 'genres': ['filmi', 'tamil pop', 'tollywood'], 'href': 'https://api.spotify.com/v1/artists/66PGnr0hE7ZIcWir6IwitB', 'id': '66PGnr0hE7ZIcWir6IwitB', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1bd321ac4d233a1a6438589c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741bd321ac4d233a1a6438589c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781bd321ac4d233a1a6438589c', 'width': 160}], 'name': 'Sooraj Santhosh', 'popularity': 54, 'type': 'artist', 'uri': 'spotify:artist:66PGnr0hE7ZIcWir6IwitB'}",Sooraj Santhosh,54,Nannaku Prematho (Original Motion Picture Soundtrack),25,Telugu Romance,Romance,te,0,9.993478182785687,18.248864960978647,47.656171866143865,39.10518508905967
Undipova - Telugu,spotify:track:7d7BpHIZL65AJNi9FUFCme,0.599,0.51,2,-7.519,0.0255,0.487,0.0,0.217,0.524,96.044,231972,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5ugSzRux2CJD4YuXJNcxad'}, 'followers': {'href': None, 'total': 24690}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/5ugSzRux2CJD4YuXJNcxad', 'id': '5ugSzRux2CJD4YuXJNcxad', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d320cf65429aa2ba1a5c12a8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d320cf65429aa2ba1a5c12a8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d320cf65429aa2ba1a5c12a8', 'width': 64}], 'name': 'Spoorthi Jithender', 'popularity': 44, 'type': 'artist', 'uri': 'spotify:artist:5ugSzRux2CJD4YuXJNcxad'}",Spoorthi Jithender,44,Savaari,54,Telugu Romance,Romance,te,1,36.909282432442275,10.127195851011079,75.34278800873864,10.929044873083802
"Pillaa Raa - From ""RX 100""",spotify:track:6xSuenHgNaeQDRiHr8qKpm,0.411,0.654,9,-5.458,0.15,0.606,1.01e-05,0.175,0.57,62.065,237581,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7uc8AizyyDG8ujFdTxZ7q5'}, 'followers': {'href': None, 'total': 4461}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/7uc8AizyyDG8ujFdTxZ7q5', 'id': '7uc8AizyyDG8ujFdTxZ7q5', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebeb9477537f0ac8411f1099b9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174eb9477537f0ac8411f1099b9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178eb9477537f0ac8411f1099b9', 'width': 160}], 'name': 'Chaitan Bharadwaj', 'popularity': 36, 'type': 'artist', 'uri': 'spotify:artist:7uc8AizyyDG8ujFdTxZ7q5'}",Chaitan Bharadwaj,36,"Pillaa Raa (From ""RX 100"")",0,Telugu Romance,Romance,te,3,70.90329395293183,44.09164856654361,109.33488539276266,23.133306665946964
Poolane Kunukeyamantaa,spotify:track:4ZXsuOSu0vWtWMfmf1Gl3j,0.72,0.84,2,-5.049,0.042,0.591,1.46e-06,0.15,0.68,85.995,308107,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'followers': {'href': None, 'total': 20805529}, 'genres': ['desi pop', 'filmi', 'modern bollywood'], 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb19af0ea736c6228d6eb539c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b19af0ea736c6228d6eb539c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b19af0ea736c6228d6eb539c', 'width': 160}], 'name': 'A.R. Rahman', 'popularity': 75, 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}",A.R. Rahman,75,I - Manoharudu (Original Motion Picture Soundtrack),55,Telugu Romance,Romance,te,3,46.99802866887439,20.21354054501876,85.41852535095998,2.519469259398346
Chitti,spotify:track:6PQpG2HlVxuR6GwwWQX7XM,0.572,0.679,7,-7.239,0.536,0.246,0.0,0.0835,0.838,208.196,184128,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4A2XSc4OJjuPY4l6NjnrDj'}, 'followers': {'href': None, 'total': 103208}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/4A2XSc4OJjuPY4l6NjnrDj', 'id': '4A2XSc4OJjuPY4l6NjnrDj', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d4f893fa639b6ae966557a89', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d4f893fa639b6ae966557a89', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d4f893fa639b6ae966557a89', 'width': 64}], 'name': 'Ram Miriyala', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:4A2XSc4OJjuPY4l6NjnrDj'}",Ram Miriyala,58,Jathi Ratnalu,45,Telugu Romance,Romance,te,2,75.2486954808861,102.06220274245608,36.81423225796266,123.08101322522323
Kanne Kanne,spotify:track:1xkeK8WR55UkcVAW7wFaxY,0.568,0.597,10,-6.579,0.0449,0.346,0.0,0.129,0.356,173.936,290807,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6LWyVEIBnx7MoRBhQxu9om'}, 'followers': {'href': None, 'total': 440305}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/6LWyVEIBnx7MoRBhQxu9om', 'id': '6LWyVEIBnx7MoRBhQxu9om', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb439ae2d0bb4ac04b74af8421', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174439ae2d0bb4ac04b74af8421', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178439ae2d0bb4ac04b74af8421', 'width': 160}], 'name': 'Anurag Kulkarni', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:6LWyVEIBnx7MoRBhQxu9om'}",Anurag Kulkarni,62,Arjun Suravaram,52,Telugu Romance,Romance,te,2,40.98995773093367,67.80015902466991,2.6326924368132825,88.82341355297922
Bujji Bangaram,spotify:track:1Y5lew9Z79LKXNLO4vEeHe,0.67,0.642,3,-8.276,0.129,0.592,2.28e-06,0.15,0.88,119.794,208447,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4kq8z3vydHjPDggxb16ErB'}, 'followers': {'href': None, 'total': 143725}, 'genres': ['desi pop', 'filmi', 'modern bollywood'], 'href': 'https://api.spotify.com/v1/artists/4kq8z3vydHjPDggxb16ErB', 'id': '4kq8z3vydHjPDggxb16ErB', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdb218cfba82c73c8392cd82b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174db218cfba82c73c8392cd82b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178db218cfba82c73c8392cd82b', 'width': 160}], 'name': 'Nakash Aziz', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:4kq8z3vydHjPDggxb16ErB'}",Nakash Aziz,62,Guna 369,49,Telugu Romance,Romance,te,0,13.218218763533315,13.75083050037092,51.604744764375546,34.691147862486645
Ay Pilla - Telugu,spotify:track:5nVFeACm96rucybpDAjfK5,0.504,0.554,1,-12.085,0.0356,0.347,1.36e-05,0.0963,0.386,140.005,253773,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QvyquqkuuwUzdszyoKIy4'}, 'followers': {'href': None, 'total': 1208338}, 'genres': ['filmi', 'tamil pop'], 'href': 'https://api.spotify.com/v1/artists/1QvyquqkuuwUzdszyoKIy4', 'id': '1QvyquqkuuwUzdszyoKIy4', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc6d13b5ee303dfd238a8c496', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c6d13b5ee303dfd238a8c496', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c6d13b5ee303dfd238a8c496', 'width': 160}], 'name': 'Haricharan', 'popularity': 64, 'type': 'artist', 'uri': 'spotify:artist:1QvyquqkuuwUzdszyoKIy4'}",Haricharan,64,Love Story,58,Telugu Romance,Romance,te,0,8.674123419687904,34.29131518237657,31.76035683680552,55.08965679023193
Kannuladha - The Kiss of Love,spotify:track:1vnDu8pbmwz88G6RDugerQ,0.592,0.548,8,-6.483,0.0282,0.436,1.59e-05,0.296,0.583,109.946,206253,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'followers': {'href': None, 'total': 10117804}, 'genres': ['desi hip hop', 'filmi', 'tamil hip hop'], 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb53defb703e917e62b55ee8ed', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517453defb703e917e62b55ee8ed', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17853defb703e917e62b55ee8ed', 'width': 160}], 'name': 'Anirudh Ravichander', 'popularity': 80, 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}",Anirudh Ravichander,80,3 (Original Motion Picture Soundtrack),58,Telugu Romance,Romance,te,1,23.011113722260546,3.822900848670422,61.44415867334758,24.846167861026156
Po Pove Yekantham,spotify:track:46ZWVfAlTic02K5deefyDu,0.443,0.574,3,-8.146,0.0275,0.375,0.0,0.0792,0.455,145.011,221236,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5DxwUWyGp1uejyE80iJcn0'}, 'followers': {'href': None, 'total': 284586}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/5DxwUWyGp1uejyE80iJcn0', 'id': '5DxwUWyGp1uejyE80iJcn0', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd524a16fa2ee73856511c09b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d524a16fa2ee73856511c09b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d524a16fa2ee73856511c09b', 'width': 160}], 'name': 'Dhanunjay Seepana', 'popularity': 46, 'type': 'artist', 'uri': 'spotify:artist:5DxwUWyGp1uejyE80iJcn0'}",Dhanunjay Seepana,46,Raghuvaran B.Tech (Original Motion Picture Soundtrack),0,Telugu Romance,Romance,te,0,12.1146934022125,38.90168175330699,26.392614644620355,59.899628362974404
Kallumoosi,spotify:track:55uVx1s7InHUFdyw3iDJny,0.854,0.537,2,-7.898,0.0554,0.337,9e-05,0.0649,0.585,103.004,217873,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/086LQYImDS05jNyttLA3V2'}, 'followers': {'href': None, 'total': 184}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/086LQYImDS05jNyttLA3V2', 'id': '086LQYImDS05jNyttLA3V2', 'images': [], 'name': 'Suchit Suresan', 'popularity': 34, 'type': 'artist', 'uri': 'spotify:artist:086LQYImDS05jNyttLA3V2'}",Suchit Suresan,34,Majnu,54,Telugu Romance,Romance,te,1,29.958550253484603,3.351664275430664,68.38638792047445,17.897565044324605
"Koppamga Koppamga - From ""Mr. Majnu""",spotify:track:0Z3zGNsygprNlSMAX6vAvc,0.78,0.68,1,-3.939,0.0279,0.33,2.85e-05,0.0677,0.486,101.021,274158,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2FgHPfRprDaylrSRVf1UlN'}, 'followers': {'href': None, 'total': 3960733}, 'genres': ['filmi', 'tamil pop'], 'href': 'https://api.spotify.com/v1/artists/2FgHPfRprDaylrSRVf1UlN', 'id': '2FgHPfRprDaylrSRVf1UlN', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd8ee48716280f5ad1b1c06d7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d8ee48716280f5ad1b1c06d7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d8ee48716280f5ad1b1c06d7', 'width': 160}], 'name': 'Thaman S', 'popularity': 67, 'type': 'artist', 'uri': 'spotify:artist:2FgHPfRprDaylrSRVf1UlN'}",Thaman S,67,Mr. Majnu (Original Motion Picture Soundtrack),52,Telugu Romance,Romance,te,1,32.079903023951346,5.826712379310707,70.44069073236564,16.275760837781263
Nee Kannu Neeli Samudram - Telugu,spotify:track:1C9SYGI40nNYh98gN87Fwr,0.809,0.665,5,-5.495,0.036,0.469,1.08e-05,0.153,0.959,140.96,312375,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4W91bbPB2CTSsHwt7eqNl7'}, 'followers': {'href': None, 'total': 4365707}, 'genres': ['desi pop', 'filmi', 'modern bollywood', 'sufi'], 'href': 'https://api.spotify.com/v1/artists/4W91bbPB2CTSsHwt7eqNl7', 'id': '4W91bbPB2CTSsHwt7eqNl7', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9327a492ed915d521248aefa', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749327a492ed915d521248aefa', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789327a492ed915d521248aefa', 'width': 160}], 'name': 'Javed Ali', 'popularity': 67, 'type': 'artist', 'uri': 'spotify:artist:4W91bbPB2CTSsHwt7eqNl7'}",Javed Ali,67,Uppena,56,Telugu Romance,Romance,te,0,8.170068499556605,34.84759093225585,30.477492506203426,55.87770814316569
"Choosi Chudangane - From ""Chalo""",spotify:track:1Tf3RCP9Gs6CghGHeM3I7h,0.634,0.69,0,-7.159,0.0386,0.347,0.0,0.225,0.405,123.023,202111,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6LWyVEIBnx7MoRBhQxu9om'}, 'followers': {'href': None, 'total': 440305}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/6LWyVEIBnx7MoRBhQxu9om', 'id': '6LWyVEIBnx7MoRBhQxu9om', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb439ae2d0bb4ac04b74af8421', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174439ae2d0bb4ac04b74af8421', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178439ae2d0bb4ac04b74af8421', 'width': 160}], 'name': 'Anurag Kulkarni', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:6LWyVEIBnx7MoRBhQxu9om'}",Anurag Kulkarni,62,"Choosi Chudangane (From ""Chalo"")",0,Telugu Romance,Romance,te,0,9.928962113841466,16.893100867403977,48.36329541146259,37.90767034629218
Nuvvunte Naa Jathagaa,spotify:track:5dG3KI5rIUwiUQNNr3Y1to,0.45,0.686,0,-4.111,0.0361,0.126,0.0,0.147,0.208,78.973,352613,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG'}, 'followers': {'href': None, 'total': 20805529}, 'genres': ['desi pop', 'filmi', 'modern bollywood'], 'href': 'https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG', 'id': '1mYsTxnqsietFxj1OgoGbG', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb19af0ea736c6228d6eb539c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b19af0ea736c6228d6eb539c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b19af0ea736c6228d6eb539c', 'width': 160}], 'name': 'A.R. Rahman', 'popularity': 75, 'type': 'artist', 'uri': 'spotify:artist:1mYsTxnqsietFxj1OgoGbG'}",A.R. Rahman,75,I - Manoharudu (Original Motion Picture Soundtrack),58,Telugu Romance,Romance,te,3,54.0586790474858,27.293811709103743,92.46545095574167,6.978914841758454
