name,URI,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_info,artist_name,artist_pop,album,track_pop,playlistname,mood,language,category,dc0,dc1,dc2,dc3
Devasangeetham Neeyalle,spotify:track:6QGSK7hL7WNFdVN9zKxXLL,0.46,0.593,5,-6.465,0.0281,0.404,1.41e-05,0.483,0.26,100.819,393155,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2wPsNCwhEGb0KvChZ5DD52'}, 'followers': {'href': None, 'total': 2644318}, 'genres': ['filmi', 'mollywood'], 'href': 'https://api.spotify.com/v1/artists/2wPsNCwhEGb0KvChZ5DD52', 'id': '2wPsNCwhEGb0KvChZ5DD52', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdd746a334ae236bb7a95c1d5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dd746a334ae236bb7a95c1d5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dd746a334ae236bb7a95c1d5', 'width': 160}], 'name': 'K. J. Yesudas', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:2wPsNCwhEGb0KvChZ5DD52'}",K. J. Yesudas,62,Guru,32,Malayalam sad songs,Sad,ma,1,32.13830221382879,5.340803453459905,70.57131070649152,15.732434399426731
Konji Konji Vilikkunna,spotify:track:3sMRPzpKFwOHZcXuF841oN,0.77,0.364,2,-14.576,0.0415,0.232,0.0,0.11,0.851,110.01,277972,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2wPsNCwhEGb0KvChZ5DD52'}, 'followers': {'href': None, 'total': 2644318}, 'genres': ['filmi', 'mollywood'], 'href': 'https://api.spotify.com/v1/artists/2wPsNCwhEGb0KvChZ5DD52', 'id': '2wPsNCwhEGb0KvChZ5DD52', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdd746a334ae236bb7a95c1d5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dd746a334ae236bb7a95c1d5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dd746a334ae236bb7a95c1d5', 'width': 160}], 'name': 'K. J. Yesudas', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:2wPsNCwhEGb0KvChZ5DD52'}",K. J. Yesudas,62,Vismayathumbathu (Original Motion Picture Soundrack),35,Malayalam sad songs,Sad,ma,1,24.14753061205522,8.765446635927635,61.82032519954467,25.91594846635057
Priyane Nee Enne,spotify:track:2ofV9BCfL3jHVSAi1hXSDi,0.614,0.442,2,-14.101,0.169,0.637,2.13e-06,0.0893,0.65,159.846,246260,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2wPsNCwhEGb0KvChZ5DD52'}, 'followers': {'href': None, 'total': 2644318}, 'genres': ['filmi', 'mollywood'], 'href': 'https://api.spotify.com/v1/artists/2wPsNCwhEGb0KvChZ5DD52', 'id': '2wPsNCwhEGb0KvChZ5DD52', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdd746a334ae236bb7a95c1d5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dd746a334ae236bb7a95c1d5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dd746a334ae236bb7a95c1d5', 'width': 160}], 'name': 'K. J. Yesudas', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:2wPsNCwhEGb0KvChZ5DD52'}",K. J. Yesudas,62,Vismayathumbathu (Original Motion Picture Soundrack),30,Malayalam sad songs,Sad,ma,2,27.80855096262456,54.21501440536735,13.452703855763328,75.03114561107132
"Aarodum Mindathe (From ""Narendran Makan Jayakanthan Vaka"")",spotify:track:6B0UYab9bYAa0JdU1TwDlg,0.533,0.533,6,-8.703,0.0332,0.709,0.000242,0.104,0.477,90.433,269352,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2wPsNCwhEGb0KvChZ5DD52'}, 'followers': {'href': None, 'total': 2644318}, 'genres': ['filmi', 'mollywood'], 'href': 'https://api.spotify.com/v1/artists/2wPsNCwhEGb0KvChZ5DD52', 'id': '2wPsNCwhEGb0KvChZ5DD52', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdd746a334ae236bb7a95c1d5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dd746a334ae236bb7a95c1d5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dd746a334ae236bb7a95c1d5', 'width': 160}], 'name': 'K. J. Yesudas', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:2wPsNCwhEGb0KvChZ5DD52'}",K. J. Yesudas,62,Hridaya Nombaram,21,Malayalam sad songs,Sad,ma,3,42.55075716803561,15.833904511002608,80.96756168522188,5.484265901458962
Innale Ente Nenjile,spotify:track:1FJujMyoduptWvPE6C6Knr,0.702,0.325,9,-12.692,0.0416,0.615,0.0,0.111,0.463,120.004,292293,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2wPsNCwhEGb0KvChZ5DD52'}, 'followers': {'href': None, 'total': 2644318}, 'genres': ['filmi', 'mollywood'], 'href': 'https://api.spotify.com/v1/artists/2wPsNCwhEGb0KvChZ5DD52', 'id': '2wPsNCwhEGb0KvChZ5DD52', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdd746a334ae236bb7a95c1d5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dd746a334ae236bb7a95c1d5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dd746a334ae236bb7a95c1d5', 'width': 160}], 'name': 'K. J. Yesudas', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:2wPsNCwhEGb0KvChZ5DD52'}",K. J. Yesudas,62,Unforgettable Yesudas,42,Malayalam sad songs,Sad,ma,0,14.12972439643334,15.103823767855165,51.67684362388348,35.290479702637384
"Doore Doore (From ""Geethanjali"") - Male Vocals",spotify:track:4C9QLbrSOelNb5nBedPg87,0.413,0.272,9,-13.594,0.0306,0.936,5.04e-06,0.0816,0.368,134.949,265160,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3wjaprBWmoSJn4KP9tgkxt'}, 'followers': {'href': None, 'total': 286786}, 'genres': ['filmi', 'mollywood'], 'href': 'https://api.spotify.com/v1/artists/3wjaprBWmoSJn4KP9tgkxt', 'id': '3wjaprBWmoSJn4KP9tgkxt', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737fd2f48a08ea2e4eae4fb48a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027fd2f48a08ea2e4eae4fb48a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517fd2f48a08ea2e4eae4fb48a', 'width': 64}], 'name': 'M. G. Sreekumar', 'popularity': 56, 'type': 'artist', 'uri': 'spotify:artist:3wjaprBWmoSJn4KP9tgkxt'}",M. G. Sreekumar,56,Mohanlal Hits,10,Malayalam sad songs,Sad,ma,0,6.888710739959402,29.63086921147581,37.000732092633434,50.221696686961366
Kathiripoo,spotify:track:0ksYOFwSPqISWSKLiqkUD1,0.687,0.601,10,-9.656,0.0397,0.414,4.69e-05,0.128,0.555,149.932,299720,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2wPsNCwhEGb0KvChZ5DD52'}, 'followers': {'href': None, 'total': 2644318}, 'genres': ['filmi', 'mollywood'], 'href': 'https://api.spotify.com/v1/artists/2wPsNCwhEGb0KvChZ5DD52', 'id': '2wPsNCwhEGb0KvChZ5DD52', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdd746a334ae236bb7a95c1d5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dd746a334ae236bb7a95c1d5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dd746a334ae236bb7a95c1d5', 'width': 160}], 'name': 'K. J. Yesudas', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:2wPsNCwhEGb0KvChZ5DD52'}",K. J. Yesudas,62,Krishnagudiyil Oru Pranayakalathu (Original Motion Picture Soundtrack),33,Malayalam sad songs,Sad,ma,0,17.18192184388299,43.893523208601586,21.595292394944657,64.85535504011906
Doore,spotify:track:1uBOQ8hVUPEoNuJ7Do3er9,0.59,0.505,4,-9.308,0.0348,0.454,3.26e-06,0.121,0.455,80.002,288133,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3VmnHULx2BP6qsQCtFGc33'}, 'followers': {'href': None, 'total': 11}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/3VmnHULx2BP6qsQCtFGc33', 'id': '3VmnHULx2BP6qsQCtFGc33', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27368288bb16a39d30a4577a426', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0268288bb16a39d30a4577a426', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485168288bb16a39d30a4577a426', 'width': 64}], 'name': 'Thankam', 'popularity': 1, 'type': 'artist', 'uri': 'spotify:artist:3VmnHULx2BP6qsQCtFGc33'}",Thankam,1,Ente Veedu Appoontem (Original Motion Picture Soundtrack),10,Malayalam sad songs,Sad,ma,3,52.99637251526912,26.26335589454368,91.40849868421819,5.465451359365139
Yaathrayay Neelambaram,spotify:track:3OxkhpqPUr5eJQ8pYtwBlq,0.579,0.543,2,-7.701,0.0308,0.591,1.81e-05,0.297,0.341,109.982,341775,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2wPsNCwhEGb0KvChZ5DD52'}, 'followers': {'href': None, 'total': 2644318}, 'genres': ['filmi', 'mollywood'], 'href': 'https://api.spotify.com/v1/artists/2wPsNCwhEGb0KvChZ5DD52', 'id': '2wPsNCwhEGb0KvChZ5DD52', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdd746a334ae236bb7a95c1d5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dd746a334ae236bb7a95c1d5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dd746a334ae236bb7a95c1d5', 'width': 160}], 'name': 'K. J. Yesudas', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:2wPsNCwhEGb0KvChZ5DD52'}",K. J. Yesudas,62,Niram,42,Malayalam sad songs,Sad,ma,1,22.979806724330523,3.987027607804569,61.406663259872865,24.868702367129373
Mounam Swaramay (M),spotify:track:3OucEt3sJO1sVDXVkxjyB3,0.497,0.17,2,-14.358,0.0493,0.909,0.7,0.111,0.353,130.805,264429,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2wPsNCwhEGb0KvChZ5DD52'}, 'followers': {'href': None, 'total': 2644318}, 'genres': ['filmi', 'mollywood'], 'href': 'https://api.spotify.com/v1/artists/2wPsNCwhEGb0KvChZ5DD52', 'id': '2wPsNCwhEGb0KvChZ5DD52', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdd746a334ae236bb7a95c1d5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dd746a334ae236bb7a95c1d5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dd746a334ae236bb7a95c1d5', 'width': 160}], 'name': 'K. J. Yesudas', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:2wPsNCwhEGb0KvChZ5DD52'}",K. J. Yesudas,62,Aayushkalam,25,Malayalam sad songs,Sad,ma,0,7.690046367886151,25.84452856333489,41.22022999013334,46.22717056275024
